Repo,Language,Last Updated,GitHub Org,Local,Updated,Status,Live URL,Deployment Platform,PWA,Framework,Styling,Backend,Database,Blockchain,Wallet Integration,Has Tests,Has CI/CD,Documentation,README Quality,Resume Worthy,Featured Project,Key Tags,Demo Ready,Project Type,Archive Candidate,Notes,Stars,Forks,Watchers,Open Issues,Size (KB),Created At,Pushed At,Description,Homepage,Full Name,Primary Language,Language Breakdown,Topics,Is Fork,Archived,Disabled,Private,Visibility,Has Pages,Has Issues,Has Projects,Has Wiki,Has Downloads,Default Branch,License,License Name,HTML URL,Clone URL,Git URL,SSH URL,Subscribers,Network Count,Contributors Count,Releases Count,Latest Release Date,Social Preview URL,README URL,README Size (bytes),README Name,Has README,Latest Release Tag,Latest Release Name,README Path,Latest Commit Message,Latest Commit Date,Latest Commit Author,OG Title,OG Description,OG Image,OG Type,OG URL,OG Site Name,Favicon
scan,TypeScript,2025-06-20,whaleen,no,,active,,,no,React,Tailwind,Node.js,none,Solana,yes,no,no,basic,good,yes,no,"Web3,Solana,Dashboard",no,app,no,Real-time Solana token analytics dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llmix,JavaScript,2024-11-08T04:20:22Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,87,2024-11-07T12:26:35Z,2024-11-08T04:20:17Z,LLMix helps you prepare code for AI interactions by organizing and generating context-rich content files from your repository.,,whaleen/llmix,JavaScript,"JavaScript: 98.0%, HTML: 1.0%, TypeScript: 0.9%",,no,no,no,no,public,no,yes,yes,yes,yes,main,,,https://github.com/whaleen/llmix,https://github.com/whaleen/llmix.git,git://github.com/whaleen/llmix.git,git@github.com:whaleen/llmix.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/llmix,https://github.com/whaleen/llmix/blob/main/README.md,6673,README.md,yes,,,/readmes/whaleen/llmix.md,ignore .llmix,2024-11-08T04:20:14Z,whaleen,,,,,,,
nil-sites,TypeScript,2024-11-19T12:23:33Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1653,2024-11-04T22:48:29Z,2024-11-07T09:44:23Z,,https://cto-desk.vercel.app,whaleen/nil-sites,TypeScript,"TypeScript: 95.3%, CSS: 4.0%, JavaScript: 0.7%",,no,no,no,no,public,no,yes,yes,no,yes,main,,,https://github.com/whaleen/nil-sites,https://github.com/whaleen/nil-sites.git,git://github.com/whaleen/nil-sites.git,git@github.com:whaleen/nil-sites.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/nil-sites,https://github.com/whaleen/nil-sites/blob/main/README.md,1450,README.md,yes,,,/readmes/whaleen/nil-sites.md,,,,,,,,,,
nothing-computer-sites,TypeScript,2024-08-08,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invisible,TypeScript,2024-06-01T00:02:11Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1017,2024-05-31T19:38:26Z,2024-06-01T00:02:08Z,"there is no ticker, ily",https://invisible-pi.vercel.app,whaleen/invisible,TypeScript,"TypeScript: 86.5%, JavaScript: 13.1%, CSS: 0.3%",,no,no,no,yes,private,no,yes,yes,no,yes,main,MIT,MIT License,https://github.com/whaleen/invisible,https://github.com/whaleen/invisible.git,git://github.com/whaleen/invisible.git,git@github.com:whaleen/invisible.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/invisible,https://github.com/whaleen/invisible/blob/main/README.md,3527,README.md,yes,,,,,,,,,,,,,
badge-up,MDX,2024-05-16,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weasol,TypeScript,2024-05-14T11:23:46Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3688,2024-05-14T10:02:27Z,2024-05-14T11:23:43Z,,https://weasol-seven.vercel.app,whaleen/weasol,TypeScript,"TypeScript: 73.3%, CSS: 19.4%, JavaScript: 7.3%",,no,no,no,yes,private,no,yes,yes,no,yes,main,,,https://github.com/whaleen/weasol,https://github.com/whaleen/weasol.git,git://github.com/whaleen/weasol.git,git@github.com:whaleen/weasol.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/weasol,https://github.com/whaleen/weasol/blob/main/README.md,1383,README.md,yes,,,/readmes/whaleen/weasol.md,,,,,,,,,,
pool-tourn,TypeScript,2024-04-25T08:45:27Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,55,2024-04-25T08:44:23Z,2024-04-25T08:44:31Z,,https://pool-tourn.vercel.app,whaleen/pool-tourn,TypeScript,"TypeScript: 89.1%, CSS: 8.0%, JavaScript: 3.0%",,no,no,no,yes,private,no,yes,yes,no,yes,main,,,https://github.com/whaleen/pool-tourn,https://github.com/whaleen/pool-tourn.git,git://github.com/whaleen/pool-tourn.git,git@github.com:whaleen/pool-tourn.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/pool-tourn,https://github.com/whaleen/pool-tourn/blob/main/README.md,1383,README.md,yes,,,/readmes/whaleen/pool-tourn.md,"Initial commit

Created from https://vercel.com/new",2024-04-25T08:44:30Z,whaleen,,,,,,,
motherbored-app,TypeScript,2024-04-11,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airwolf,TypeScript,2026-01-04T02:05:58Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2859,2024-04-05T23:20:04Z,2024-04-06T02:09:13Z,,,whaleen/airwolf,TypeScript,"TypeScript: 87.0%, CSS: 10.1%, JavaScript: 2.9%",,no,no,no,yes,private,no,yes,yes,no,yes,main,,,https://github.com/whaleen/airwolf,https://github.com/whaleen/airwolf.git,git://github.com/whaleen/airwolf.git,git@github.com:whaleen/airwolf.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/airwolf,https://github.com/whaleen/airwolf/blob/main/README.md,1383,README.md,yes,,,/readmes/whaleen/airwolf.md,Update page.tsx,2024-04-06T02:09:11Z,whaleen,,,,,,,
nil-computer,TypeScript,2024-03-21,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mco,JavaScript,2024-03-15,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twtr-site,TypeScript,2026-01-04T01:56:40Z,whaleen,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,24005,2024-02-29T17:15:56Z,2024-03-10T02:48:20Z,$TWTR on Solana ,,whaleen/twtr-site,TypeScript,"TypeScript: 94.2%, JavaScript: 4.5%, CSS: 1.1%",,no,no,no,yes,private,no,yes,yes,no,yes,master,,,https://github.com/whaleen/twtr-site,https://github.com/whaleen/twtr-site.git,git://github.com/whaleen/twtr-site.git,git@github.com:whaleen/twtr-site.git,1,0,1+,0,,https://opengraph.githubassets.com/1/whaleen/twtr-site,https://github.com/whaleen/twtr-site/blob/master/README.md,594,README.md,yes,,,/readmes/whaleen/twtr-site.md,weqweqwe,2024-03-10T02:48:17Z,whaleen,,,,,,,
grande,TypeScript,2024-03-02,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fast,Nunjucks,2023-08-13,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last,Nunjucks,2023-08-13,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tast,Nunjucks,2023-08-13,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dude,—,2023-08-13,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static-digital-sale,HTML,2020-02-28,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-netlify-jumpstart,SCSS,2020-11-18,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occam-athletics,HTML,2020-02-27,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eleventy-netlify-boilerplate,JavaScript,2020-03-10,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eleventy-sanity,JavaScript,2020-02-26,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-forestry-snipcart,HTML,2023-05-12,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geoff,HTML,2020-04-10,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-avalanche-tachyons-sass,Ruby,2020-01-31,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyel,Ruby,2019-09-24,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-tailwindcss-postcss,HTML,2023-09-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eleventy-netlify-boilerplate-2,HTML,2020-11-23,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wigs,HTML,2020-11-18,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magamarket,JavaScript,2020-11-15,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marvelous-goose-cbf3f,SCSS,2020-11-12,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4447_template_office_jekyll,CSS,2021-07-21,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-lang,CSS,2020-05-14,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houseparty-11ty,CSS,2020-05-06,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textpattern-Foundation,JavaScript,2020-02-27,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryptocurrency,HTML,2020-03-13,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,HTML,2020-03-11,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-vndr,HTML,2020-03-11,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-vndrs,HTML,2020-03-11,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jvaage,HTML,2020-03-07,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btc-richest,HTML,2020-03-06,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
txp-cli,JavaScript,2020-03-02,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ty-tachyons,HTML,2023-11-19,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshuavaage.com,CSS,2020-02-27,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-starter,—,2020-02-18,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-tachyons,CSS,2021-11-09,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-wants-content,CSS,2020-01-08,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-asciidocs-netlify,Ruby,2020-01-04,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asciidoc-jekyll,—,2020-01-04,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breen-image-chooser,CSS,2019-12-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tachyons-modules,CSS,2019-12-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf,CSS,2017-02-15,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mntr-podcasts,HTML,2020-03-02,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample-datocms-jekyll-portfolio,CSS,2017-02-16,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobbeSneyders.github.io,CSS,2017-02-16,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf-news,—,2017-01-04,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whaleen.github.io,HTML,2016-12-21,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-theme-poise,CSS,2019-12-09,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-manifest.json,—,2023-08-03,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironrepublic,—,2016-12-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-agency-theme,HTML,2016-12-18,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jekyll-theme-antarctica,HTML,2016-12-20,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunrisechurch.us,JavaScript,2016-12-10,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apj-redesign,HTML,2016-11-04,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshuavaage,HTML,2016-11-03,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestry-jekyll-githubpages,—,2016-10-29,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakuragroup.co,JavaScript,2016-02-08,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tachyons-ui-loading-component,CSS,2016-03-25,whaleen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
